Id,Movie
1004,The Secret Garden
1005,Oh! What a Lovely War
1006,Stage Fright
1007,The Dam Busters
1008,Fanboys
1009,Obsession
1010,2010: The Year We Make Contact
1011,Cliffhanger
1012,Manhattan Project
1013,Howards End
1014,Imagining Argentina
1015,Junior
1016,Sahara
1017,Cellular
1018,Sabretooth
1019,Behind Enemy Lines
1020,Love and Kisses
1021,Lake Placid
1022,Mission: Impossible II
1023,The Hole
1024,Schindler's List
1025,Stand by Me
1026,Joan of Arc
1027,Lagaan: Once Upon a Time in India
1028,Munna Bhai M.B.B.S.
1029,Casablanca
1030,Contraband
1031,Hackers
1032,Presumed Innocent
1033,Speed
1034,The Taking of Pelham One Two Three
1035,The Lion King 1Â½
1036,Weekend at Bernie's II
1037,Weekend at Bernie's
1038,Child's Play 2
1039,Pretty Baby
1040,Dilwale Dulhaniy Le Jayenge
1041,Thursday
1042,Anna
1043,Persona
1044,Scenes from a Marriage
1045,When a Man Loves a Woman
1046,10.5
1047,Limelight
1048,The Haunting
1049,"Me, Myself & Irene"
1050,Shall We Dance?
1051,Cheaper by the Dozen
1052,Don't Tell Mom the Babysitter's Dead
1053,Out of the Blue
1054,The Trip
1055,Easy Rider
1056,Ticker
1057,Dinosaur
1058,Ray
1059,Breakfast at Tiffany's
1060,Zhou Yu's Train
1061,Can't Hardly Wait
1062,America's Sweethearts
1063,Python
1064,Panic Room
1065,The French Connection
1066,F.I.S.T
1067,Runaway Train
1068,The Crow: Salvation
1069,Hustle
1070,Paparazzi
1071,First Daughter
1072,Amerika
1073,Madhouse
1074,Starship Troopers
1075,"One, Two, Three"
1076,Bob & Carol & Ted & Alice
1077,Shogun
1078,Arachnophobia
1079,Naked Lunch
1080,Reign: The Conqueror
1081,Muriel's Wedding
1082,Gallipoli
1083,"The Adventures of Priscilla, Queen of the Desert"
1084,The Hand That Rocks the Cradle
1085,Holy Smoke!
1086,Batman: Mystery of the Batwoman
1087,Conspiracy
1088,Doom
1089,Levity
1090,Titus
1091,Normal
1092,Country
1093,Seventh Heaven
1094,Sunrise
1095,The Circus
1096,Tillie's Punctured Romance
1097,Modern Times
1098,Wimbledon
1099,Women in Love
1100,Committed
1101,Elektra
1102,Twilight
1103,Boys' Night Out
1104,Grand Prix
1105,Murphy's Romance
1106,Blue Desert
1107,Rollerball
1108,Monsignor
1109,Dead Ringers
1110,The Adventures of Pinocchio
1111,Ace Ventura: When Nature Calls
1112,Kill Bill
1113,The Truth About Cats & Dogs
1114,Tape
1115,Taking Lives
1116,S.W.A.T.
1117,Pinocchio
1118,Amistad
1119,Serenity
1120,The Others
1121,True Stories
1122,Oliver's Story
1123,Slap Shot
1124,Henry: Portrait Of A Serial Killer
1125,The Gambler
1126,54
1127,Layer Cake
1128,Babes in Toyland
1129,The Incredible Mr. Limpet
1130,Beethoven
1131,P.S. Your Cat Is Dead
1132,2001: A Space Odyssey
1133,The Caine Mutiny
1134,Superfly
1135,Shaft's Big Score
1136,Snatch
1137,The Good Son
1138,Diva
1139,Alien: Resurrection
1140,The Devils
1141,Madigan's Millions
1142,...And Justice for All
1143,The Devil's Advocate
1144,Exotica
1145,Godzilla
1146,Erin Brockovich
1147,Species
1148,Always
1149,Rapid Fire
1150,Samson and Delilah
1151,The Club
1152,Breaker Morant
1153,Original Sin
1154,The Draughtsman's Contract
1155,Somersault
1156,L'Appartement
1157,Irreversible
1158,Lancelot du Lac
1159,Psycho
1160,Shadows
1161,The Set-Up
1162,The Informer
1163,Visitors
1164,Above the Law
1165,Star Wars Episode III: Revenge of the Sith
1166,Star Wars Episode II: Attack of the Clones
1167,Sleepy Hollow
1168,Meatballs
1169,The Hindenburg
1170,American Beauty
1171,Sugar & Spice
1172,Anne of Green Gables
1173,City Hall
1174,The Protector
1175,Leon
1176,The Crow: City of Angels
1177,Get Over It
1178,I Confess
1179,Meteor
1180,Patton
1181,And God Created Woman
1182,Ed Wood
1183,Three Coins in the Fountain
1184,The Swan
1185,My Best Friend's Birthday
1186,Primal Fear
1187,The Stepfather
1188,Around the World in Eighty Days
1189,Mary of Scotland
1190,...tick...tick...tick...
1191,Smilin' Through
1192,Dr. Jekyll and Mr. Hyde
1193,"Mary, Queen of Scots"
1194,Metropolis
1195,The Return of the King
1196,Body and Soul
1197,Deathtrap
1198,Sleuth
1199,Summertime
1200,Mr. Baseball
1201,The Last of the Mohicans
1202,Wicker Park
1203,Dragonfly
1204,Stray Dog
1205,Hakuchi
1206,Rashomon
1207,Congo
1208,Robotix
1209,Big Momma's House
1210,The Sea Hawk
1211,The Adventures of Robin Hood
1212,The Transformers: The Movie
1213,To Be or Not to Be
1214,Groove
1215,I'll Never Forget What's 'Isname
1216,"I, Robot"
1217,The Score
1218,Anarchists
1219,Taegukgi
1220,Dave
1221,A Sound of Thunder
1222,Running on Empty
1223,Love Field
1224,Tequila Sunrise
1225,Sinbad: Legend of the Seven Seas
1226,Hart's War
1227,Speakeasy
1228,Beethoven's 4th
1229,Beethoven's 3rd
1230,Bully
1231,Kids
1232,Election
1233,Glory
1234,Good Boy!
1235,My Girl
1236,John Carpenter's The Thing
1237,The Letter
1238,Alexander's Ragtime Band
1239,Intolerance
1240,It's a Gift
1241,Young Mr. Lincoln
1242,Stitch! The Movie
1243,The Stranger
1244,Alphaville
1245,Look at Me
1246,Magic
1247,Pocahontas
1248,The Net
1249,Hey Arnold!: The Movie
1250,Firefox
1251,The Black Cauldron
1252,Phone Booth
1253,Fluke
1254,Summer School
1255,Lucas
1256,The Baby-Sitters Club
1257,Ring 0: Birthday
1258,Love & Pop
1259,Calamity Jane
1260,Love Me or Leave Me
1261,Teacher's Pet
1262,Look Who's Talking Too
1263,The Party
1264,"Murder, Inc."
1265,The Luck of the Irish
1266,The Mark of Zorro
1267,Marie Antoinette
1268,Becky Sharp
1269,Ghost Dog: The Way of the Samurai
1270,Babette's Feast
1271,Head of State
1272,Twentieth Century
1273,I'm Gonna Git You Sucka
1274,Foxy Brown
1275,Jubilee
1276,A Knight's Tale
1277,"Martha, Meet Frank, Daniel and Laurence"
1278,"A Cool, Dry Place"
1279,Curdled
1280,Darby O'Gill and the Little People
1281,Outland
1282,Entrapment
1283,A Soldier's Story
1284,Inchon
1285,Mannequin
1286,Thunderbolt
